博主昵称,笔记标题,笔记详情,评论数,点赞数,店铺名称,店铺地址,店铺评分,人均价格
皮蛋瘦肉粥,我们是中餐厅，寒假工刚走，店长急需人～,"谁还在上海找工作啊
快来我们店看看，快被店长催死了
寒假工刚走，着急补人
我们是中餐厅，环境没的说
一个月5500-6000店长定薪资[哇R][哇R][哇R]
我们包吃住，没有健康证也可以先入职后期免费办理哦
	
非常适合想尽快入职的小伙伴，很多区域都有店铺，考虑的快来～
#上海找工作[话题]# #上海餐厅[话题]# #上海打工[话题]# #上海包吃住[话题]# #上海求职[话题]# #上海服务生[话题]# #上海餐厅[话题]#",142,38,,,,
楠楠爱运动,上海北外滩,"包房中餐厅服务员7000包吃包住！
人均500左右的一家中餐厅
包房居多，工作不繁琐
女生服务员6000底薪 面试定薪
有经验的跟店长谈薪[飞吻R][飞吻R]
包吃三餐，包住宿（4-6人间，设施齐全，步行可到）[哇R][哇R]
要求：女生165cm及以上，形象落落大方#餐饮人[话题]# #餐饮招人啦[话题]#",182,316,,,,
白深,来上海打工的一些坑（短期餐饮）,"1.三薪很多都是上海最低工资的三倍，也就是2740×3。有些工作兼职的话是没有三薪的。
2.住宿有的店会从工资扣费，要提前问好。还要平摊水电费。
3.公司筛选：交押金或者餐费之类的不要交。有一些兼职工资很高，可能要自付餐费，十五一顿，要提前交，还要至少一周，实际上你赚不了他说的这么多。（收押金，餐费，工作服钱之类的谨慎，一定不要提前交钱！！）
有些公司看看是不是金融公司，可能骗你贷款。有些要求性别身高年龄比较苛刻的，一定要擦亮眼睛保护好自己安全，不要干！！譬如茶艺师，按摩师之类的。
4.如果真的很想要这份工作，可以适当美化自己。招我的一些人事会提前说：“面试喜欢活泼的”“拉长工作经验”“穿高点的鞋，垫点东西”之类的。餐饮确实缺人，谁都不愿意干（尤其上海有的人比较刁钻，至少相较于我老家来说是这样的）
5.要勇于沟通，在软件上找工作要多沟通，譬如有没有三薪，三薪是上海最低工资的三倍吗？夜班有没有补贴？包食宿需要额外在工作里面扣吗？试岗有没有工资？
6.还没来上海，想要来上海的人可以提前在招聘软件约下时间面试。有的可以线上面试。
7.不要对上海有太高的幻想，工资其实也就比老家多了一两千，在老家还有吃住的话其实差不多。如果只是想体验下风土人情的话，来来也不错。",73,553,,,,
芳芳,上海餐饮服务员寒假工一个月6k，美滋滋🎉,"100%长白班+ 心上班可以带手机＋心一起去的可以分配到一个店里＋心工作氛围好十多休息时间多可以玩手机
【上海餐饮酒店项目】
為年龄招募要求：16到23岁，男女不限
1⃣薪资待遇：同工同酬工资3500＋加班另算＋其他福利＋ 吃住全部免费综合6000左右工资（吃住
超级好）
2⃣工作地点：地处繁华都市或者旅游商圈，工作赚钱游玩、学习社会经验都不耽误；
3⃣工作内容：简单的上菜/传菜/点单/迎宾，厨师专业学生可安置后厨
4⃣工作时间：纯白班，早上10点上班，睡懒觉不是问题；
5⃣工作环境：工作环境高端大气，同事关系兄弟姐妹相称，氛围融洽；
6⃣ 工作管理：员工上班可携带手机，闲暇时间随便休息玩耍
#寒假工[话题]# #餐饮服务员[话题]# #服务员[话题]# #不打工就没有饭吃[话题]# #管吃住好工作[话题]# #包吃包住[话题]# #餐厅[话题]# #寒假打工不踩坑[话题]# #寒假工避雷[话题]# #勤工俭学的大学生是最棒的[话题]#",150,181,,,,
panda是贪吃鬼,上海浦东新区急招餐饮服务员🔥包吃包住,"服务员 、传菜员 、收银 、迎宾5-6k
老板包的酒店宿舍，分配4～6人间🤩包三餐
宿舍内洗衣机、烘干机、空调等一应俱全
面试当天通过可办理入住✌🏻
店内小伙伴氛围很好
店长直聘欢迎私💌 支持线上面试～",153,56,,,,
dachsie,人均300！分享一家静安/普陀的高端商务宴请,"已经来过好多次，环境还是非常不错的 不输黑珍珠级的标准。菜系属于融合菜 听说他们的厨师团队来自于梅府家宴，主厨是第四代传人。
有几道菜品获得了世界中餐业联合会的金奖 我比较推荐他们家的脆皮松板肉 朗姆酒百香果 以及爱吃甜口人必点的黑松露红烧肉！第一次吃完之后心心念念的 过了一周又跑来吃[萌萌哒R]
位置坐落在天安千树旁边月星家居的5楼，私密性非常好，宴请领导来这真的非常满意。迎宾的小哥小姐都很热情，下雨了还会打伞带着我们走。特别是有个叫Peter的服务员，服务特别到位 够专业[点赞R]
比较推荐晚上来，但晚上一般都订的比较满，最大的包间能坐二三十个人！现在上海还能找到这么大的包间真不容易 大家订餐一定要记得提前一天预定！中午来也蛮不错的，人会少一点 比较静谧 还可以在外面的大露台晒晒太阳[赞R]
#上海商务宴请[话题]# #上海私宴[话题]# #上海私房菜[话题]# #上海餐厅推荐[话题]#  #特色融合菜[话题]# #融合创意菜[话题]# #宝藏餐厅分享[话题]# #艺术馆里的餐厅[话题]# #本地人爱吃的餐厅[话题]# #约会餐厅[话题]#",3,48,,,,
阿红别吃了,上海！！！个人认为目前夯爆的一家。。。,"地铁9号线直达！！！
泗泾站3口出来走两分钟就看得到
一定要空腹来！牛肉、毛肚、脑花每次必点
现点现冒的淋上红油锅底真的香爆了
会愿意带每一个朋友来吃的程度
人均才2、30的样子，好吃的要命！！
#上海[话题]# #上海美食[话题]##苍蝇馆子[话题]# #冒菜[话题]# #卡卡个个[话题]# #上海必吃[话题]# #上海必吃冒菜[话题]# #上海美食推荐[话题]#  #美食日常[话题]# #一人食吃什么[话题]# #笔记灵感[话题]# #二人食[话题]# #上海吃喝玩乐[话题]# #上海旅游[话题]#  #本地人爱吃的店[话题]#",102,378,,,,
上海工作内推（极速版）,上海中餐厅服务员 7600/月 包吃包住❗️,"工作内容超简单：摆台、收台、传菜、帮客人加个茶水，不费啥脑子🫡
包吃包住太省心！吃饭直接在店里，住宿离得近，省下一大笔房租饭💴，等于到手的都是净收入🧐
上班时间固定，不搞熬夜加班，干完活儿就能下班休息😄
店铺环境很好，还在商场里，冬暖夏凉的很舒适😆
店员都是实在人，相处起来不费劲，不用搞职场弯弯绕🥹
是份稳定的、不用操心吃住的活儿~
#兼职[话题]# #日结[话题]# #店伙伴招聘[话题]# #店伙伴[话题]# #上海找工作[话题]# #服务员[话题]# #周末兼职[话题]# #上海兼职[话题]# #餐饮工作[话题]# #餐饮服务员[话题]#",97,29,,,,
不懂爱,上海餐饮大概什么情况？,"上海这边餐饮大概什么情况啊，怎么看了几个都是12小时，单休，月5.5k左右啊。
有的说12小时，中间有俩小时左右休息，可是这中间时间也是固定占用了啊。
更有离谱的过年综合6k，过年综合才6k出头，留守个锤子啊。
难绷啊。",169,104,,,,
脚步丈量美好,上海餐饮店工资。,今天在商场玩，看到一家新开的店，排队很旺，有机会要尝一下。看了下招聘，挺有感慨的发出来大家看看，生活不易，且行且珍惜。#上海[话题]# #餐饮[话题]# #职业[话题]# #月薪[话题]# #养老[话题]#,306,620,,,,
